,Name,Price,Shipping
0,Shop on eBay,$20.00,[]
1,AMD Radeon VII 7 16GB Graphics Card In Working Condition,$349.95,['Free shipping']
2,MSI AMD Radeon VII 16GB GDDR6 Graphics Card (RADEONVII16G),$399.00,['+$14.50 shipping']
3,"AMD Radeon VII 7 16GB Graphics Card Perfect Condition, One Owner",$350.00,['+$12.55 shipping']
4,XFX AMD Radeon VII 16GB HBM2 Graphics/ Video Card (RXVEGMA3FD6),$220.00,['+$16.30 shipping']
5,AMD Radeon VII 7 16GB Graphics Card,$489.00,['Free shipping']
6,AMD Radeon Pro VII 16 GB Professional Graphics card,$622.71,['+$11.44 shipping']
7,***FOR PARTS*** AMD Radeon VII 16GB Graphics Card ***READ DESCRIPTION***,$119.99,[]
8,XFX AMD Radeon VII 16GB HBM2 Graphics Card (not Working),$300.00,['+$15.75 shipping']
9,sapphire radeon VII 16gb ,$250.00,['+$40.00 shipping']
10,AMD Sapphire Radeon VII 16GB GPU Graphics Card Very Good GPU-109,$489.95,['Free shipping']
11,***FAULTY*** AMD Radeon VII 7 16GB Graphics Card No Fans***READ DESCRIPTION***,$149.99,[]
12,"Radeon VII Cooler + Backplate, no card",$100.00,['+$18.85 shipping']
13,XFX Radeon VII 16GB HBM2 CrossFireX Support Video Graphics Card,None,['+$28.08 shipping']
14,*AS IS* ASRock AMD Radeon VII Phantom Gaming X 16GB HBM2 PCIe 3.0 Desktop GPU ,$307.66,['Free shipping']
15,AMD Sapphire Radeon VII 16GB HBM2 PCI-E Graphics Card / never used for mining,$700.00,['+$15.99 shipping']
16,AMD Radeon VII 7 16GB / For Parts or Repair,$305.00,['Free shipping']
17,ASUS | AMD Radeon VII | 16GB HBM2 | 7nm Graphics Card,$450.00,['+$8.00 shipping']
18,AMD Sapphire Radeon VII 16GB HBM2 PCI-E Graphics Card,$489.00,['Free shipping']
19,AMD Radeon VII 16GB HBM2 Graphics Card 7nm | VR READY! (2-3Day Shipping),$574.37,['Free shipping']
20,For Parts AMD Radeon VII 16GB HBM2 PCI-E Graphics Card Gaming Mining PC GPU,$249.95,['+$13.30 shipping']
21, AMD Radeon VII,$750.00,[]
22,AMD Radeon VII 16gb hbm2 graphics card (Parts Only),$250.00,['+$52.63 shipping']
23,XFX AMD Radeon VII 16GB HBM2 Graphics Card (RXVEGMA3FD6),"$1,550.00",['+$15.00 shipping']
24,ASRock Phantom Gaming X Radeon VII 16GB Graphics Card AMD LED Lighting VR Ready,$797.98,['Free shipping']
25,AMD Radeon Pro VII 16 GB Professional Graphics card,$769.99,['+$18.00 shipping']
26,graphics card broken,$130.00,['+$20.00 shipping']
27,AMD Radeon VII 16GB HBM2 PCI-E Graphics Card + Razer Core X  eGPU ,"$2,250.00",['Free shipping']
28,XFX AMD Radeon VII 16GB HBM2 Graphics Card (RXVEGMA3FD6),"$1,099.00",['Free shipping']
29,ASRock Phantom Gaming X Radeon VII 16G Graphics Card,$550.00,['+$13.02 shipping']
30,AMD Radeon VII 7 16GB Graphics Card - Not Working,$299.00,['+$41.45 shipping']
31,AMD Radeon VII 16GB HBM2 Graphics Card Custom Watercooled,None,['+$47.55 shipping']
32,VGA BIOS CHIP AMD RADEON VII / PRO DUO / VEGA M / RX 560D / WX 8200 / RX 5500 XT,$22.00,['+$2.50 shipping']
33,AMD XFX Radeon VII 16GB HBM2 Graphics Card Original Box Express 3.0 CrossFire,"$1,395.00",[]
34,Amd Radeon Pro VII Graphics Card - SKU#1576726,"$2,199.00",['Free shipping']
35,ASRock Phantom Gaming X Radeon VII 16G Graphics Card,"$1,000.00",['Free shipping']
36,Vbios V-Bios Chip: For AMD Radeon Vii 16GB Graphics Video Card GPU MSI XFX ETC,$3.90,['+$5.00 shipping']
37,amd radeon vii 16gb hbm2 graphics card ,"$1,025.00",['+$17.05 shipping']
38,AMD Radeon Pro VII 16 GB Graphics Card,$975.00,['+$14.50 shipping']
39,AMD Sapphire Radeon VII 16GB HBM2 PCI-E Graphics Card,$999.00,['+$12.55 shipping']
40,XFX AMD Radeon VII 16GB HBM2 7nm Graphics Card Very Light used Hard to find,$999.00,['+$50.00 shipping']
41,ASRock Phantom Gaming X Radeon VII 16G Graphics Card,$898.00,['+$20.00 shipping']
42,MSI AMD Radeon VII 16GB in Excellent Condition w/ Original Box (original owner),"$1,500.00",['+$12.45 shipping']
43,AMD Radeon VII 16GB HBM2 Graphics Card (RXVEGMA3FD6) +Original Box & Packing GPU,"$1,113.00",['+$36.00 shipping']
44,MSI AMD Radeon VII 16GB PCI-E 7nm Graphics Card,"$1,750.00",['+$13.50 shipping']
45,Single Slot PCI Baffle Bracket for RX Vega56 R9 Fury X R9 Nano Graphics Card,$15.97,['Free shipping']
46,Full Coverage GPU Water Block For AMD Radeon VII WaterBlock with RGB / aRGB LED,$100.00,['+$14.95 shipping']
47,radeon vii for parts,"$1,000.00",['+$17.90 shipping']
48,Bykski AMD RADEON VII Full Coverage GPU Water Block - Clear (A-Radeon-VII-X),$149.99,['Free shipping']
49,For Sapphire/ASUS/MSI AMD Radeon VII Cooler FD8015H12S Graphics Card Cooling Fan,$12.19,['+$3.00 shipping']
50,For Sapphire/ASUS/MSI AMD Radeon VII Cooler FD8015H12S Graphics Card Cooling Fan,$21.52,['+$3.00 shipping']
51,Barrow GPU Water Block For MSI ASUS XFX Sapphire AMD Radeon VII Founder Edition,$134.95,['+$20.00 shipping']
52,For Sapphire/ASUS/XFX/Dylan/MSI AMD Radeon VII Graphics Cooling Fan Replacement,$13.85,['Free shipping']
53,"NEW EKWB EK-Vector Radeon VII GPU Backplate, Nickel",$50.00,['+$17.05 shipping']
54,FD8015H12S Cooling Fan For Sapphire/ASUS/XFX/Dylan/MSI AMD Radeon VII Graphics,$12.08,['Free shipping']
55,Bykski A-Radeon VII-X GPU Water Cooling Block for Reference AMD Radeon VII,$104.88,['+$20.00 shipping']
56,Bykski A-Radeon VII-X GPU Water Cooling Block for Reference AMD Radeon VII,$109.90,['+$10.00 shipping']
57,FD8015H12S Cooling Fan For Sapphire/ASUS/XFX/Dylan/MSI AMD Radeon VII Graphics,$14.07,['Free shipping']
58,For Sapphire/ASUS/XFX/Dylan/MSI AMD Radeon VII Graphics Cooling Fan Replacement,$13.44,['Free shipping']
59,For Amd XFX Radeon VII RadeonVII Graphics Video Card Cooling Fan FD8015H12S part,$11.99,['Free shipping']
60,Cooler Fans For Amd XFX Radeon VII RadeonVII Graphics Video Card FD8015H12S,$10.07,['Free shipping']
61,For AMD&XFX Radeon VII Graphics Card Cooling Fan FD8015H12S 4Pin,$14.99,['+$3.13 shipping']
62,75mm For Graphics&MSI&XFX Radeon VII HBM2 16G/AMD Radeon VII 16GB Graphics Fan,$21.98,['+$4.79 shipping']
63,Cooler Fan For Amd XFX Radeon VII FD8015H12S 75mm Graphics Card Card Cooling,$19.41,['Free shipping']
64,Fan FD8015H12S For Amd XFX Radeon VII RadeonVII Graphics Video Card Cooler Fans,$11.44,['Free shipping']
65,75mm For Graphics&MSI&XFX Radeon VII HBM2 16G/AMD Radeon VII 16GB Graphics Fan,None,['+$3.19 shipping']
66,75mm For Graphics&MSI&XFX Radeon VII HBM2 16G/AMD Radeon VII 16GB Graphics Fan,$21.98,['+$4.79 shipping']
